,link,headline,summary,date
665,https://www.nytimes.com/2015/10/28/business/media/comcast-revenue-jumps-11-to-18-7-billion.html,"Comcast Revenue Jumps 11%, Defying Media Gloom",Third-quarter growth at the cable and entertainment conglomerate was fueled by its high-speed Internet and film businesses.,2015/10/28
664,https://www.nytimes.com/2015/10/30/business/media/time-warner-cable-and-charter-chiefs-expect-delay-in-merger.html,Time Warner Cable and Charter Chiefs Expect Delay in Merger,Both companies reported strong third-quarter results and remain optimistic that Charter Communications’ takeover bid will be approved.,2015/10/30
622,https://dotearth.blogs.nytimes.com/2015/10/31/now-its-bill-nye-with-climate-change-denial-and-arnold-schwarzenegger-to-the-rescue/,National Geographic Explores Bill Nye’s Climate Change Denial – and Arnold Schwarzenegger’s Analysis,"Bill Nye the Science Guy is rescued from “climate change denial” by his therapist, Arnold Schwarzenegger, in a new National Geographic program.",2015/10/31
717,https://www.nytimes.com/2015/11/02/business/media-earnings-yellens-testimony-and-the-jobs-report.html,"Media Earnings, Yellen’s Testimony and the Jobs Report","This week, a pack of media companies will report earnings, the Federal Reserve chairwoman will testify about regulatory issues and the Labor Department will release the latest figures on hiring and unemployment.",2015/11/02
716,https://www.nytimes.com/2015/11/02/business/media/lionsgate-seeks-to-build-on-its-library-of-film-properties-with-theme-parks.html,Lionsgate Seeks to Build on Its Library of Film Properties With Theme Parks,"Roller coasters and other rides based on the “Hunger Games” movies will anchor new theme parks in the United States and China, the studio’s chief brand officer said.",2015/11/02
525,https://www.nytimes.com/2015/11/03/business/media/media-earnings-results-are-awaited-a-bit-warily.html,"Media Earnings Results Are Awaited, a Bit Warily",Investors are looking for media executives to show how they are adapting for survival.,2015/11/03
793,https://www.nytimes.com/2015/11/03/sports/baseball/world-series-television-ratings-up-over-comparable-games-from-last-year.html,World Series Television Ratings Up Over Comparable Games From Last Year,"The Royals’ win over the Mets on Sunday averaged 17.2 million viewers, nearly 37 percent better than the average for last year’s Game 5, and the average viewership for the Series was 6 percent better.",2015/11/03
657,https://www.nytimes.com/2015/11/04/business/media/vice-is-said-to-near-cable-channel-deal-with-ae-networks.html,Vice Gets Cable Channel in Deal With A&E Networks,"The media company will take over H2, the History Channel spinoff, in late February.",2015/11/04
651,https://www.nytimes.com/2015/11/04/business/media/cbs-weighs-a-bigger-streaming-push.html,CBS Weighs a Bigger Streaming Push,"The company is considering increasing original programming on its streaming service, introducing an option without advertising.",2015/11/04
169,https://www.nytimes.com/2015/11/05/business/media/time-warner-fox-q3-earnings.html,"Time Warner Cuts Profit Expectations, and Media Stocks Dip","The company, which owns Turner networks, HBO and Warner Bros. film studios, cited the effects of foreign exchange rates among its reasons for the revision.",2015/11/05
